All bits have been measured 7000 times with the outcome:
   ( 222 )	* |t=0>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 5 )	* |t=173>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=173>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=173>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=173>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=174>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=174>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=174>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=174>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=175>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=175>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=175>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=175>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=176>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=177>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 10 )	* |t=177>|xbits=2>|reg2=0>|helpers=0000> 
