All bits have been measured 1000 times with the outcome:
   ( 24 )	* |t=0>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=252>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=262>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=267>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=268>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=269>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=270>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=270>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=271>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=271>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=271>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=273>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=274>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=274>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=274>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=275>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=276>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=277>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=286>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=287>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=289>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=289>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=292>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=293>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=294>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=298>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=299>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=300>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=301>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=301>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=301>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=301>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=301>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=302>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=302>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=302>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=302>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=302>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=305>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=305>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=305>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=305>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=305>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=305>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=307>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=307>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=307>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=307>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=307>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=308>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=309>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=309>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=309>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=313>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=315>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=317>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=319>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=323>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=323>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=325>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=331>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 5 )	* |t=333>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=333>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=333>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=333>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=333>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=333>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=335>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=335>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 4 )	* |t=335>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=335>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=336>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=337>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=338>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=339>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=341>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=349>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=349>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=350>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=350>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=350>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=351>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=351>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=351>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 5 )	* |t=351>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=351>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=351>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=354>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=356>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=356>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=356>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=356>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=356>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=356>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=358>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=358>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=358>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
